Event 1,,,,,,,,,,,,,,Length Strata (values set on the KS Input tab),,
Event,Unique,Crew,Data Page,Date,Time,Tag Number,Fork Length (mm),Weight (lbs),Area,Area Description,Lat (WGS84),Long (WGS84),Comments,All,Small,Big
1,60,,3,3/10/2025,,20345,805,,CROA,RM 0-1,64.9845,-148.8857,,yes,,yes
1,61,,4,3/10/2025,,20497,650,,CROA,RM 0-1,64.9845,-148.8857,,yes,yes,
1,62,,4,3/10/2025,,20498,625,,CROA,RM 0-1,64.9845,-148.8857,,yes,yes,
1,63,,4,3/10/2025,,20499,618,,CROA,RM 0-1,64.9845,-148.8857,,yes,yes,
1,64,,4,3/10/2025,,20500,695,,CROA,RM 0-1,64.9845,-148.8857,,yes,yes,
1,65,,4,3/10/2025,,20451,690,,CROA,RM 0-1,64.9845,-148.8857,,yes,yes,
1,66,,4,3/10/2025,,20452,797,,CROA,RM 0-1,64.9845,-148.8857,,yes,,yes
1,67,,4,3/10/2025,,20453,695,,CROA,RM 0-1,64.9845,-148.8857,,yes,yes,
1,68,,4,3/10/2025,,20454,748,,CROA,RM 0-1,64.9845,-148.8857,,yes,,yes
1,69,,4,3/10/2025,,20455,780,,CROA,RM 0-1,64.9845,-148.8857,,yes,,yes
1,70,,4,3/10/2025,,20456,625,,CROA,RM 0-1,64.9845,-148.8857,,yes,yes,
1,71,,4,3/10/2025,,20457,620,,CROA,RM 0-1,64.9845,-148.8857,,yes,yes,
1,72,,4,3/10/2025,,20458,1115,,CROA,RM 0-1,64.9845,-148.8857,,yes,,yes
1,73,,4,3/10/2025,,20459,680,,CROA,RM 0-1,64.9845,-148.8857,,yes,yes,
1,74,,4,3/10/2025,,20460,590,,CROA,RM 0-1,64.9845,-148.8857,,yes,,
1,75,,4,3/10/2025,,20461,865,,CROA,RM 0-1,64.9845,-148.8857,,yes,,yes
1,76,,4,3/10/2025,,20462,625,,CROA,RM 0-1,64.9845,-148.8857,,yes,yes,
1,77,,4,3/10/2025,,20463,677,,CROA,RM 0-1,64.9845,-148.8857,,yes,yes,
1,78,,4,3/10/2025,,20464,830,,CROA,RM 0-1,64.9845,-148.8857,,yes,,yes
1,79,,4,3/10/2025,,20465,647,,CROA,RM 0-1,64.9845,-148.8857,,yes,yes,
1,80,,4,3/10/2025,,20466,582,,CROA,RM 0-1,64.9845,-148.8857,,yes,,
1,81,,5,3/10/2025,,20468,565,,CROA,RM 0-1,64.9845,-148.8857,,yes,,
1,82,,5,3/10/2025,,20467,970,,CROA,RM 0-1,64.9845,-148.8857,,yes,,yes
1,83,,5,3/10/2025,,20202,945,,CROA,RM 0-1,64.9845,-148.8857,,yes,,yes
1,84,,5,3/10/2025,,20470,845,,CROA,RM 0-1,64.9845,-148.8857,,yes,,yes
1,85,,5,3/10/2025,,20471,873,,CROA,RM 0-1,64.9845,-148.8857,,yes,,yes
1,86,,5,3/10/2025,,20472,798,,CROA,RM 0-1,64.9845,-148.8857,,yes,,yes
1,87,,5,3/10/2025,,20473,1030,,CROA,RM 0-1,64.9845,-148.8857,,yes,,yes
1,88,,5,3/10/2025,,20474,734,,CROA,RM 0-1,64.9845,-148.8857,,yes,,yes
1,89,,5,3/10/2025,,20401,596,,CROA,RM 0-1,64.9845,-148.8857,,yes,,
1,90,,5,3/10/2025,,20402,880,,CROA,RM 0-1,64.9845,-148.8857,,yes,,yes
1,91,,5,3/10/2025,,20403,665,,CROA,RM 0-1,64.9845,-148.8857,,yes,yes,
1,92,,5,3/10/2025,,20405,588,,CROA,RM 0-1,64.9845,-148.8857,,yes,,
1,93,,5,3/10/2025,,20407,660,,CROA,RM 0-1,64.9845,-148.8857,,yes,yes,
1,94,,5,3/10/2025,,20408,618,,CROA,RM 0-1,64.9845,-148.8857,,yes,yes,
